#"time"	"Top model:Controleur.acc"	"Top model:M_0.C2"	"Top model:M_1.C2"	"Top model:M_2.C2"	"Top model:M_3.C2"	"Top model:M_4.C2"	
69	0.000919027183483574	6.51213577455498e-05	0.00010162700684084	0.000156638680929019	0.000237655953317465	0.000353217941332986
70	0.000867475995742455	6.0114397457146e-05	9.45668245848928e-05	0.000146927564910474	0.000224712652376075	0.000336663566237289
71	0.000818899468187562	5.54924053604009e-05	8.79971238951815e-05	0.00013781850819022	0.000212474273978894	0.000320885050187072
72	0.000773120844977227	5.12257825569704e-05	8.18838302736133e-05	0.000129274184945155	0.000200902426389876	0.000305846030755184
73	0.000729974185581548	4.72872059073969e-05	7.61952364291424e-05	0.000121259583438301	0.000189960808777014	0.000291511849723654
74	0.000689303684056542	4.36514530557285e-05	7.09018378243085e-05	0.000113741862552593	0.000179615097336803	0.00027784947321199
75	0.000650963032306566	4.02952409074018e-05	6.59761796466038e-05	0.000106690217219125	0.000169832837620624	0.000264827415548852
76	0.00061481482442401	3.71970765260117e-05	6.13927144109737e-05	0.000100075752188432	0.000160583342725296	0.000252415666711646
77	0.00058076309453595	3.43398666834588e-05	5.7131782943258e-05	9.38773717793603e-05	0.000151846100410023	0.000240597171831091
78	0.000548618530695385	3.16995908239633e-05	5.31627513568182e-05	8.80572637226622e-05	0.000143576205433909	0.00022932102936102
79	0.000518302320346402	2.92623168187991e-05	4.94694544126842e-05	8.25979844487646e-05	0.000135756708345731	0.000218573369366606
80	0.000489707433375795	2.70124365440221e-05	4.60327364071759e-05	7.74771636839149e-05	0.000128363079419532	0.000208329423295321
81	0.000462733291283432	2.49355419313912e-05	4.28347724123922e-05	7.26738180424683e-05	0.000121372124875796	0.000198565583430093
82	0.000437285366948524	2.30183327001566e-05	3.98589758252001e-05	6.81682650440944e-05	0.00011476191412267	0.000189259348484063
83	0.000413274809910784	2.12485311830372e-05	3.70899123389357e-05	6.39420424616522e-05	0.0001085117109598	0.000180389271745184
84	0.000390618095498681	1.96148037009402e-05	3.45132198916209e-05	5.99778326692493e-05	0.000102601908528965	0.00017193491165113
85	0.000369236696248436	1.81066879829115e-05	3.21155341754997e-05	5.62593916804877e-05	9.70139678074569e-05	0.000163876784680634
86	0.000349056774161366	1.67145261665196e-05	2.98844193215393e-05	5.27714825861204e-05	9.17303594512505e-05	0.000156196320452679
87	0.000330008892443928	1.54294029496136e-05	2.78083033993844e-05	4.94998131183679e-05	8.67345088055337e-05	0.000148875818930069
88	0.000312027745465087	1.4243088497382e-05	2.58764183982271e-05	4.64309770860558e-05	8.2010743910092e-05	0.000141898409628756
89	0.00029505190574971	1.3147985739094e-05	2.40787443772973e-05	4.35523994405926e-05	7.75442463364431e-05	0.000135248012738914
90	0.000279023586905105	1.21370817170163e-05	2.24059574963029e-05	4.0852284747688e-05	7.33210047024952e-05	0.000128909302068164
91	0.000263888421450891	1.12039026759456e-05	2.0849381656274e-05	3.83195688536667e-05	6.93277707189061e-05	0.000122867669721553
