#"time"	"Top model:M_0.C1"	"Top model:M_0.C2"	"Top model:M_0.C3"	"Top model:M_1.C1"	"Top model:M_1.C2"	"Top model:M_1.C3"	"Top model:M_2.C1"	"Top model:M_2.C2"	"Top model:M_2.C3"	"Top model:M_3.C1"	"Top model:M_3.C2"	"Top model:M_3.C3"	"Top model:M_4.C1"	"Top model:M_4.C2"	"Top model:M_4.C3"	
58	0.00965652325763191	0.000157016638335478	0.990186460104037	0.0153582891535447	0.000224390588282309	0.984417320258185	0.0244268098123725	0.000316717145055073	0.975256473042567	0.0388498234775244	0.000440046544243804	0.960710129978238	0.0617867203834044	0.12393010242017	0.814283177196429
59	0.00891406594180632	0.000144944161655387	0.990940989896543	0.014291325519236	0.000208801833884942	0.985499872646892	0.022912422799903	0.000297081657048985	0.976790495543041	0.0367339709193756	0.000416080576756681	0.962849948503873	0.0588909429455634	0.119522788153022	0.82158626890142
60	0.00822869365038507	0.000133799896754229	0.991637506452867	0.0132984854663728	0.000194296053891811	0.986507218479748	0.0214919231202924	0.000278663508853061	0.978229413370847	0.0347333526569608	0.000393419852101498	0.964873227490943	0.0561308828093928	0.115240445130916	0.828628672059697
61	0.00759601730948903	0.000123512476577057	0.99228047021394	0.0123746195173632	0.000180798012429008	0.987444582470221	0.0201594900479278	0.000261387229146551	0.979579122722918	0.0328416927601063	0.000371993283690524	0.966786313956207	0.0535001792699117	0.111081967725077	0.835417853005016
62	0.00701198530624078	0.000114016021239688	0.992873998672524	0.0115149359366314	0.000168237700372862	0.988316826363008	0.0189096637242656	0.000245182025598258	0.980845154250128	0.0310530571005233	0.000351733656478419	0.968595209243003	0.0509927697312776	0.107046025414349	0.841961204854378
63	0.00647285754253292	0.000105249716138747	0.993421892741333	0.0107149758777374	0.00015654997223967	0.989128474150036	0.0177373227851844	0.00022998149478359	0.982032695720025	0.0293618347364759	0.000332577416108951	0.97030558784742	0.0486028757352124	0.103131089440111	0.848266034824681
64	0.00597518148371411	9.71574224994164e-05	0.993927661093792	0.00997059025706413	0.000145674208301262	0.989883735534645	0.0166376633753724	0.000215723350085866	0.983146613274535	0.0277627203112829	0.000314464469545275	0.971922815219177	0.046324989644239	0.0993354572734744	0.85433955308229
65	0.00551577004880732	8.96873178667857e-05	0.99439454263333	0.00927791823411954	0.000135554000173825	0.990586527765717	0.0156061794637519	0.000202349166466799	0.984191471369774	0.0262506974104275	0.000297337996558241	0.973451964593023	0.0441538619490237	0.0956572750519128	0.860188862999068
66	0.00509168120068693	8.27915642388121e-05	0.994825527235076	0.00863336718686449	0.000126136858249644	0.991240495954896	0.014638644379315	0.00018980414106081	0.985171551479619	0.024821022825122	0.000281144271481964	0.974897832903405	0.0420844891706497	0.0920945581320939	0.865820952697262
67	0.00470019910547843	7.64260017150964e-05	0.995223374892809	0.00803359407815493	0.000117373939453562	0.9918490319824	0.0137310934916375	0.000178036868611183	0.986090869639747	0.0234692116728487	0.000265832494676279	0.976264955832485	0.0401121023297872	0.0886452098954203	0.871242687774797
68	0.004338816740561	7.05498657001788e-05	0.995590633393741	0.00747548811670609	0.000109219793912914	0.99241529208939	0.0128798079651767	0.000166999130828871	0.98695319290399	0.0221910233283173	0.000251354633168642	0.977557622038522	0.0382321559563433	0.0853070389340791	0.876460805109584
69	0.00400521983977871	6.51255258500604e-05	0.995929654634373	0.0069561546226205	0.000101632129226598	0.992942213248161	0.0120812995207452	0.000156645698810311	0.987762054780439	0.0209824481206423	0.000237665269974913	0.978779886609391	0.0364403176141855	0.0820777747363638	0.881481907649457
70	0.00369727207304977	6.01182450902401e-05	0.99624260968186	0.00647290001380212	9.45715911107452e-05	0.993432528395094	0.0113322961417272	0.000146934147704729	0.988520769710563	0.0198396947550247	0.000224721461626493	0.979935583783357	0.0347324579168128	0.0789550819821171	0.886312460101076
71	0.00341300136546538	5.54959571620386e-05	0.996531502677374	0.00602321783538729	8.80015592832559e-05	0.993888780605338	0.0106297286664642	0.000137824682871497	0.989232446650659	0.0187591784194772	0.000212482603456862	0.981028338977074	0.0331046410109655	0.0759365735515668	0.890958785437474
72	0.00315058726826667	5.12290612726288e-05	0.99679818367046	0.00560477575973208	8.18879575285532e-05	0.994313336282747	0.00997071821187236	0.000129279976815201	0.989900001811307	0.0177375095392864	0.000200910302224927	0.982061580158498	0.0315531155062423	0.073019822343766	0.895427062149998
73	0.00290834930082442	4.72902325337305e-05	0.997044360466641	0.00521540348953036	7.61990769574241e-05	0.994708397433521	0.00935256437675675	0.000121265016230233	0.990526170607007	0.016771483143932	0.000189968255675606	0.983038548600403	0.0300743058298228	0.0702023719942427	0.899723322175942
74	0.00268473618896436	4.36542469750302e-05	0.997271609564061	0.00485308150132052	7.09054115452673e-05	0.995076013087144	0.00877273417648356	0.00011374695852815	0.991113518864984	0.0158580688131099	0.000179622138659821	0.983962309048241	0.0286648039863696	0.0674817465753035	0.903853449438335
75	0.00247831593072116	4.02978200117262e-05	0.997481386249267	0.00451593057099792	6.59795050957489e-05	0.995418089923917	0.00822885166366861	0.000106694997259885	0.991664453339066	0.0149944011703171	0.000169839495456666	0.984835759334236	0.0273213617041225	0.0648554593566634	0.90782317893922
76	0.00228776662590285	3.71994573317537e-05	0.997675033916766	0.00420220202700584	6.13958088361242e-05	0.995736402164169	0.00771868819235145	0.00010008023588138	0.992181231571761	0.0141777708941796	0.000160589637959963	0.985661639467872	0.0260408829490842	0.0623210206986916	0.911638096352232
77	0.00211186801073902	3.4339317247789e-05	0.997853792672013	0.00391026868065198	5.71305489056296e-05	0.996032600770455	0.00724015328576044	9.38755693453542e-05	0.992665971144888	0.0134056162193235	0.000151843549409813	0.986442540231278	0.0248216082272402	0.0598783464091154	0.915300045363652
78	0.00194949364340111	3.16990836325383e-05	0.998018807272966	0.00363861638650971	5.31616030496548e-05	0.996308222010453	0.00679128607024849	8.80555730340159e-05	0.993120658356711	0.012675514900129	0.000143573793367157	0.987180911306516	0.0236582861957446	0.0575200733872754	0.918821640416988
79	0.00179960369035154	2.92618486236023e-05	0.998171134461025	0.00338583618913099	4.94683858801606e-05	0.996564695425002	0.00637024724029816	8.25963985776098e-05	0.993547156361117	0.0119851766121573	0.000135754427645795	0.987879068960208	0.0225494859396543	0.0552462323014279	0.922204281758927
80	0.00166123826732608	2.70120043467656e-05	0.998311749728326	0.00315061701533909	4.60317421072269e-05	0.996803351242569	0.00597531152167201	7.74756761318898e-05	0.993947212802189	0.0113324357674134	0.000128360922931867	0.988539203309667	0.0214926521699668	0.0530543856930504	0.925452962136992
81	0.00153351129230541	2.49351429643157e-05	0.99844155356473	0.00293173887419871	4.28338471879682e-05	0.997025427278628	0.00560486060182415	7.26724227140895e-05	0.994322466975456	0.0107152447209064	0.00012137008583551	0.989163385193269	0.020485349357204	0.0509421218412688	0.928572528801537
82	0.00141560481111083	2.30179644083061e-05	0.998561377224481	0.00272806652939468	3.98581148775197e-05	0.997232075355743	0.00525737649860474	6.81669562217794e-05	0.994674456545167	0.0101316673471973	0.000114759986133303	0.989753572666679	0.0195252561186053	0.0489070587105613	0.931567685170842
83	0.00130676375928572	2.12481912078978e-05	0.998671988049508	0.0025385436111999	3.70891112025959e-05	0.997424367277614	0.00493143534008425	6.39408147822917e-05	0.995004623845128	0.00957987296678194	0.000108509887973258	0.990311617145254	0.0186101598683776	0.0469468474132923	0.934442992718337
84	0.00120629112671817	1.96144898653361e-05	0.998774094383417	0.00236218713749395	3.45124744114375e-05	0.99760330038811	0.00462570153000947	5.99766811022298e-05	0.995314321788885	0.00905813060325816	0.000102600184826549	0.990839269211925	0.0177379517186744	0.0450591752272947	0.937202873054038
85	0.00111354349403933	1.81063982770623e-05	0.998868350107684	0.0021980824154147	3.21148404849551e-05	0.99776980274412	0.00433892227498342	5.62583115070784e-05	0.995604819413507	0.0085648035532609	9.70123379819195e-05	0.991338184108768	0.0169066216195516	0.0432417682058164	0.939851610174639
86	0.00102792691221298	1.67142587351703e-05	0.998955358829053	0.00204537829720009	2.98837738227286e-05	0.997924737928996	0.00406992245094305	5.27704693801369e-05	0.995877307079676	0.0080983442521313	9.17288183898368e-05	0.991809926929488	0.0161142537267009	0.041492393414439	0.942393352858868
87	0.000948893098929449	1.54291560801536e-05	0.999035677744992	0.00190328276561361	2.78077027443546e-05	0.998068909531662	0.00381759978789981	4.94988627280364e-05	0.99613290134937	0.00765728941921366	8.67330516739411e-05	0.992255977529121	0.015359021986285	0.0398088608270515	0.944832117186673
88	0.000875935927445957	1.42428606088773e-05	0.999109821211947	0.00177105882605706	2.58758594716129e-05	0.998203065314493	0.00358092035321106	4.64300856169992e-05	0.996372649561169	0.00724025546755068	8.20093661373055e-05	0.992677735166319	0.0146391859266996	0.03818902491061	0.9471717891627
89	0.000808588185388054	1.31477753721635e-05	0.999178264039242	0.00164802068406445	2.40782242801624e-05	0.998327901091678	0.00335891431487522	4.35515632398732e-05	0.996597534121882	0.0068459341635778	7.75429436003959e-05	0.993076522892829	0.0139530866475642	0.0366307859262164	0.949416127426229
90	0.00074641858275585	1.21368875244854e-05	0.999241444529723	0.00153353018835116	2.24054735311046e-05	0.998444064338141	0.00315067196748921	4.0851500388839e-05	0.996808476532119	0.00647308852320046	7.331977291651e-05	0.993453591703891	0.0132991429966986	0.0351320909720072	0.951568766031302
91	0.00068902898997451	1.12037234142197e-05	0.999299767286616	0.00142699352096989	2.08489313128718e-05	0.99855215754774	0.00295534000458451	3.83188331226517e-05	0.99700634116229	0.00612054893138081	6.93266060188765e-05	0.993810124462608	0.0126758479262731	0.03369093479144	0.953633217282295
92	0.000636051888301642	1.0342307126856e-05	0.999353605804577	0.00132785811740653	1.94005244426278e-05	0.998652741358173	0.00277211802206683	3.59431834303641e-05	0.997191938794499	0.0057872094730608	6.555091636153e-05	0.994147239610585	0.0120817650197377	0.0323053603687867	0.955612874611485
93	0.000587148016264235	9.54712221567862e-06	0.999403304861525	0.00123560980064156	1.8052740593789e-05	0.998746337458788	0.00260025523843173	3.37148167057598e-05	0.997366029944858	0.00547202446391172	6.19808596235955e-05	0.994465994676473	0.0115155251815233	0.0309734593319934	0.957511015486492
94	0.000542004197053081	8.81307637484685e-06	0.999449182726578	0.00114977011431264	1.67985893324899e-05	0.998833431296378	0.00243904741831682	3.16246018582407e-05	0.997529327979821	0.00517400517002745	5.8605236553709e-05	0.994767389593426	0.0109758234818886	0.0296933721815294	0.959330804336591
95	0.000500331332961449	8.13546882864145e-06	0.999491533198217	0.00106989384114638	1.56315658609049e-05	0.998914474593016	0.00228783398678427	2.96639738967167e-05	0.997682502039315	0.00489221670627069	5.54134578380175e-05	0.995052369835899	0.0104614161496403	0.0284632883624134	0.961075295487955
96	0.000461862554024585	7.50996022804203e-06	0.999530627485754	0.000995566693788402	1.4545617279376e-05	0.998989887688955	0.00214599532250886	2.78248988331781e-05	0.997826179778653	0.00462577510354266	5.23955108815512e-05	0.995321829385585	0.00997111770579633	0.0272814461952765	0.962747436098934
97	0.000426351509004031	6.93254486185417e-06	0.999566715946139	0.000926403166055015	1.35351111923622e-05	0.999060061722775	0.00201295021878009	2.60998407621405e-05	0.997960949940454	0.0043738445357762	4.95419283987596e-05	0.995576613535835	0.00950379823158679	0.0261461326810796	0.96435006908734
98	0.00039357078777237	6.39952500442878e-06	0.999600029687228	0.000862044533461629	1.25948064953809e-05	0.999125360660065	0.00188815350191429	2.44817309810605e-05	0.998087364767101	0.00413563469795327	4.6843758714681e-05	0.995817521543343	0.00905838076449613	0.0250556831929547	0.965885936042555
99	0.000363310464995444	5.90748723569828e-06	0.999630782047774	0.0008021569926575	1.17198261914245e-05	0.999186123181174	0.00177109379731794	2.29639390251921e-05	0.998205942263653	0.00391039832692171	4.42925376835792e-05	0.996045309135405	0.00863383881634592	0.024008481067566	0.967357680116095
100	0.000335376755785919	5.45328058188486e-06	0.999659169963636	0.000746429930116792	1.09056320958622e-05	0.999242664437808	0.00166129143404807	2.15402454981921e-05	0.99831716832045	0.00369742885723437	4.18802621369588e-05	0.996260690880638	0.00822919400769831	0.0230029571073923	0.968767848884918


